first_name,last_name,phone,employee_id,applicant,email,account_name
Annette,Whitmore,403-632-4551,9000001,1,,
Michael,Lawson,705-684-1553,9000002,0,,
Zara,Akhtakhanov,604-518-8002,9000003,0,,
Karina,Vasquez,418-687-1572,9000004,0,,
Bisultan,Kadiev,780-405-1797,9000005,1,,
Vakha,Usamov,905-654-3001,9000006,1,,
Robert,Gould,416-794-5925,9000007,1,,
Michael,Green,604-571-6573,9000008,1,,
Charles,Jones,306-846-5601,9000009,0,,
Vakha,Usamov,506-639-4264,9000010,1,,
Hope,Murphy,778-865-8192,9000011,1,,
Robert,Bousquet,514-961-3213,9000012,0,,
