first_name,last_name,phone,employee_id,applicant,email,account_name
Annette,Whitmore,403-632-4551,9000001,1,annette.whitmore@sl.on.ca,7E9P9
Michael,Lawson,705-684-1553,9000002,0,michael.lawson@student.sl.on.ca,8C1U9
Zara,Akhtakhanov,604-518-8002,9000003,0,zara.akhtakhanov@student.sl.on.ca,3YnO6
Karina,Vasquez,905-297-8693,9000004,0,karina.chichigov@student.sl.on.ca,9a761
Bisultan,Kadiev,780-405-1797,9000005,1,bisultan.kadiev@sl.on.ca,4fCc7
Vakha,Usamov,905-654-3001,9000006,1,vakha.usamov@sl.on.ca,6M8n5
Robert,Gould,416-794-5925,9000007,1,robert.gould@sl.on.ca,3RsK4
Michael,Green,604-571-6573,9000008,1,michael.green@sl.on.ca,3gf34
Charles,Jones,306-846-5601,9000009,0,charles.jones@student.sl.on.ca,46xS5
Vakha,Usamov,506-639-4264,9000010,1,vakha.usamov1@sl.on.ca,7BwU9
Hope,Murphy,778-865-8192,9000011,1,hope.murphy@sl.on.ca,6QRc0
Robert,Bousquet,514-961-3213,9000012,0,robert.bousquet@student.sl.on.ca,06SA8
Katherine,Maske,306-790-8089,9000013,0,katherine.maske@student.sl.on.ca,57uV5
Gerry,Laroche,780-466-1403,9000014,1,gerry.laroche@sl.on.ca,44un8
Michael,Green,403-381-4989,9000015,1,michael.green1@sl.on.ca,6SFL8
Vakha,Usamov,819-587-9788,9000016,1,vakha.usamov2@sl.on.ca,1iS86
